"ROI_A","ROI_B","a","b","k","w_k","w_norm","w_sync","w_frac","w_k_log","w_norm_log","w_sync_log","w_frac_log","xA","yA","zA","xB","yB","zB","lobeA","lobeB"
"FP.L","FP.R",0.211315789304589,0.468108023114171,7.86461402113452,7.86461402113452,25.0056643104383,30.6262509508576,0.958593562808473,2.18206739894316,3.25831437238763,3.45398750202372,0.672226645670173,-25.01,52.77,17.75,26.44,52,18.6,"Frontal","Frontal"
"FP.L","INS.L",0.874639829881187,0.515844823584121,3.70286898975204,3.70286898975204,5.51269776630828,10.3202625580126,0.841922526124613,1.54817274583496,1.87375377380586,2.42659426667678,0.610809877298536,-25.01,52.77,17.75,-36.42,1.01,10.16,"Frontal","Insula"
"FP.L","INS.R",1.2729551454297,0.015791367041743,4.05467309226465,4.05467309226465,28.5982481682616,3.22525190171481,0.862871483180547,1.62031318020609,3.38771517607393,1.44107888073948,0.622119105439931,-25.01,52.77,17.75,37.5,2.65,9.83,"Frontal","Insula"
"FP.L","F1.L",1.48645196785852,1.93694778853738,0.923417555382572,0.923417555382572,0.544206506083254,2.0497759651024,0.350427477582227,0.654103580520148,0.434510190122438,1.11506813385665,0.300421192388197,-25.01,52.77,17.75,-14.56,17.96,66.57,"Frontal","Frontal"
"FP.L","F1.R",0.305961958111308,1.08299806915903,0.853354442990154,0.853354442990154,1.48245628951387,1.09821581345005,0.551321518485048,0.616997209632115,0.909248509335599,0.741087370961163,0.439107160251563,-25.01,52.77,17.75,15.09,17.55,67.52,"Frontal","Frontal"
"FP.L","F2.L",0.963465435140053,1.49211191110663,0.89208908409957,0.89208908409957,0.74402830426377,1.68749331956702,0.420821003031904,0.637681554140464,0.556197554864133,0.988608907708188,0.351234875685855,-25.01,52.77,17.75,-38.15,18.31,52.01,"Frontal","Frontal"
"FP.L","F2.R",0.482240782190484,1.14100458058805,0.799762275435812,0.799762275435812,1.07816505918368,1.21403310769067,0.496319809892969,0.587654586977887,0.731485321275955,0.794815787964464,0.403008633371733,-25.01,52.77,17.75,39.19,18.3,53.02,"Frontal","Frontal"
"FP.L","F3t.L",1.7545510551809,0.102759086974878,1.79571174842028,1.79571174842028,4.22905662836395,1.08712882484938,0.659129943724337,1.0280867247867,1.65423088482109,0.735789353477689,0.506293334677616,-25.01,52.77,17.75,-49.76,28.6,18.59,"Frontal","Frontal"
"FP.L","F3t.R",2.44356309684693,0.780954741514586,0.332773401938142,0.332773401938142,0.240892841600444,0.200151286813626,0.171088880284884,0.287262035702302,0.215831154065901,0.182447621192193,0.157933982917882,-25.01,52.77,17.75,51.84,27.82,17.72,"Frontal","Frontal"
"FP.L","F3o.L",1.82671753207892,0.501114007749303,0.429468502502852,0.429468502502852,0.448876994651993,0.323979357810388,0.269532284168591,0.357302698611528,0.37078876991601,0.280641866615626,0.238648552456487,-25.01,52.77,17.75,-50.69,14.63,25.22,"Frontal","Frontal"
"FP.L","F3o.R",1.26484630598147,0.455042087686043,0.760174458191907,0.760174458191907,1.00200205281997,0.938712718833807,0.469209126031491,0.565412928110279,0.694147706277102,0.662024205837614,0.384724246509215,-25.01,52.77,17.75,52.49,15.48,26.37,"Frontal","Frontal"
"FP.L","PRG.L",0.688552701145791,0.181892256624237,1.71393104786681,1.71393104786681,4.84303544355017,3.38279351310281,0.797491210624307,0.998398154998121,1.76525042953887,1.47768630946742,0.586391920823255,-25.01,52.77,17.75,-34.28,-11.71,59.18,"Frontal","Frontal"
"FP.L","PRG.R",0.453262426755288,0.893857413081196,1.37394365573165,1.37394365573165,2.15853920022142,3.11837533334982,0.671033580635164,0.864552562010139,1.15010964230427,1.41545874902475,0.513442345542489,-25.01,52.77,17.75,35.08,-10.59,59.79,"Frontal","Frontal"
"FP.L","TP.L",0.688095021432573,3.22437208625158,0.577802605534671,0.577802605534671,0.38791155079604,0.227815164886467,0.228016716887253,0.456033123049444,0.327800135843793,0.20523630120267,0.205400442732663,-25.01,52.77,17.75,-40.44,11.07,-19.78,"Frontal","Temporal"
"FP.L","TP.R",1.15726168714697,0.969550441923086,0.801405246047232,0.801405246047232,0.756573610658801,4.26932854109432,0.429751386373244,0.5885670525689,0.563365099422533,1.66190294287867,0.357500573474118,-25.01,52.77,17.75,40.99,12.93,-19.31,"Frontal","Temporal"
"FP.L","T1a.L",2.20271576445707,2.67499401084437,3.94587494667242e-07,3.94587494667242e-07,1.62555878847153e-07,8.3549615547505e-07,1.61792090552055e-07,3.94587416817617e-07,1.62555865634948e-07,8.35495806448332e-07,1.61792077463716e-07,-25.01,52.77,17.75,-56,-3.79,1.86,"Frontal","Temporal"
"FP.L","T1a.R",1.45482066413829,1.10357918645034,0.779907855895098,0.779907855895098,0.615512410325389,2.2204257896961,0.378760093580238,0.576561596613002,0.479652188286576,1.1695135836392,0.321184612378534,-25.01,52.77,17.75,57.22,-0.98,-0.41,"Frontal","Temporal"
"FP.L","T1p.L",2.07766991461489,0.957982693810791,0.604112601050352,0.604112601050352,0.428204066556326,0.539536444008056,0.284698395204466,0.472570707136487,0.356417757458553,0.431481360728439,0.250523978894894,-25.01,52.77,17.75,-62.37,-29.14,13.86,"Frontal","Temporal"
"FP.L","T1p.R",2.24407794578889,1.22836052221481,0.000596159872189929,0.000596159872189929,0.000359071425722907,0.000586934191950733,0.00034324884169766,0.000595982239488143,0.000359006975006334,0.000586762013446232,0.000343189945291027,-25.01,52.77,17.75,61.35,-23.87,11.5,"Frontal","Temporal"
"FP.L","T2a.L",0.813322976445415,3.55305758439217,0.460755405497344,0.460755405497344,0.271042750134415,0.168175134914806,0.174268105412192,0.378953702940064,0.239837626680551,0.155442817441891,0.160645064509266,-25.01,52.77,17.75,-57.8,-4.41,-12.05,"Frontal","Temporal"
"FP.L","T2a.R",0.423234352519498,1.03137165587992,5.33727982958785,5.33727982958785,8.07833616936499,8.77642437599362,0.880073696059077,1.84644962742039,2.20589093456311,2.27997381147003,0.63131097610498,-25.01,52.77,17.75,57.86,-1.74,-14.52,"Frontal","Temporal"
"FP.L","T2p.L",0.305536561817247,1.78181044560769,0.723335378504467,0.723335378504467,0.980341444665187,0.489973369083712,0.409355824854119,0.5442615866046,0.683269276639803,0.398758246699462,0.343132738191336,-25.01,52.77,17.75,-60.95,-27.39,-0.91,"Frontal","Temporal"
"FP.L","T2p.R",0.437739626096899,0.994358892816637,3.01570867084753,3.01570867084753,4.57098580208848,5.41789232472551,0.80812012117882,1.39021383763848,1.7175720224963,1.85908976547082,0.592287698468131,-25.01,52.77,17.75,60.97,-22.35,-2.18,"Frontal","Temporal"
"FP.L","TO2.L",1.9032209948957,0.905083347848072,0.118977784759442,0.118977784759442,0.0906519146715271,0.119199657393653,0.0781140074623963,0.112415576370827,0.086775604313003,0.112613838251908,0.0752132252087004,-25.01,52.77,17.75,-57.4,-52.7,10.87,"Frontal","Temporal"
"FP.L","TO2.R",0.528006746586271,1.36963083391784,2.78697936412109,2.78697936412109,3.27727024459066,3.3114261992325,0.74601979254651,1.33156869976858,1.45331501279709,1.46126875407309,0.55733879329045,-25.01,52.77,17.75,58.32,-49.3,11.53,"Frontal","Temporal"
"FP.L","T3a.L",0.20972359978777,1.06930106546519,1.14830539790319,1.14830539790319,2.42484372573272,1.33589363130244,0.642294445509826,0.764679344335096,1.23105584314993,0.848394529384063,0.496094316214653,-25.01,52.77,17.75,-47.97,-5.1,-29.12,"Frontal","Temporal"
"FP.L","T3a.R",0.429716216972904,1.16092993791137,1.33950268055219,1.33950268055219,1.89648629987779,1.83188691665429,0.627452931714041,0.849938377103426,1.0634983816548,1.0409432444743,0.487016174076567,-25.01,52.77,17.75,46.31,-2.16,-31.18,"Frontal","Temporal"
"FP.L","T3p.L",0.451355542934458,1.46879196113408,0.891591088222202,0.891591088222202,1.09503042315364,0.876310495637062,0.481507813313942,0.637418320538487,0.739568075060376,0.629307346290282,0.393060361938562,-25.01,52.77,17.75,-53.46,-28.21,-16,"Frontal","Temporal"
"FP.L","T3p.R",0.68175590489636,1.23922792118935,0.906120831057877,0.906120831057877,0.985816460733493,1.62540751673198,0.485435896610903,0.645070198321197,0.686030144803211,0.965236128463736,0.395708262253575,-25.01,52.77,17.75,53.8,-23.36,-18.1,"Frontal","Temporal"
"FP.L","TO3.L",1.63433640225047,0.366257238390931,0.874254782005252,0.874254782005252,1.12998891004338,0.689431793763232,0.466380749892653,0.62821113082115,0.756116773155375,0.524392255693326,0.382797289997191,-25.01,52.77,17.75,-51.81,-53.45,-6.68,"Frontal","Temporal"
"FP.L","TO3.R",0.56456394462874,0.316885071038494,1.35025937754271,1.35025937754271,3.1923444351308,5.45163140617773,0.753920450411529,0.8545256954878,1.43326010851238,1.86433303001633,0.56185353967836,-25.01,52.77,17.75,54.19,-49.71,-6.86,"Frontal","Temporal"
"FP.L","POG.L",0.430399983889927,1.21671590662415,1.04478198492704,1.04478198492704,1.44375984731669,1.32870342061834,0.55920336981938,0.715291174974006,0.893537774335929,0.845311640852069,0.444175030457839,-25.01,52.77,17.75,-38.53,-27.78,61.5,"Frontal","Parietal"
"FP.L","POG.R",1.30627907814795,0.189594931775596,2.29583140108179,2.29583140108179,4.61326756774533,2.05593439524113,0.754272695821172,1.19265845815448,1.72513300411758,1.11708540354803,0.562054352687305,-25.01,52.77,17.75,37.25,-26.58,62.93,"Frontal","Parietal"
"FP.L","SPL.L",1.78065946222918,1.97534401211675,0.904036945276237,0.904036945276237,0.482030338450374,4.643574963824,0.324954843719267,0.643976340212555,0.393412997953413,1.73051772354035,0.281378378645568,-25.01,52.77,17.75,-29.28,-49.4,67.63,"Frontal","Parietal"
"FP.L","SPL.R",1.64887741092045,1.65976093247656,0.847843114708882,0.847843114708882,0.512505516601394,77.8943851907435,0.338844174622349,0.614019074977688,0.413767558255973,4.36811006170416,0.291806685495145,-25.01,52.77,17.75,29.08,-47.79,68.92,"Frontal","Parietal"
"FP.L","SGa.L",0.662818222556791,0.956945827191678,0.588992907927754,0.588992907927754,0.739552771739522,2.00250128224997,0.421047581965018,0.46310042431476,0.553628052453241,1.09944570203268,0.35139433339955,-25.01,52.77,17.75,-57,-32.5,46.94,"Frontal","Parietal"
"FP.L","SGa.R",0.922577262333235,2.80655234170636,0.275098766731188,0.275098766731188,0.170962435840207,0.146020307658431,0.128571038339347,0.243023639713093,0.157826005399261,0.136295338605377,0.120952264642341,-25.01,52.77,17.75,58.23,-27.26,48.18,"Frontal","Parietal"
